hour,weekday,month,is_weekend,is_rush_hour,rain_mm_per_hr,temperature_c,aqi,wind_kmh,visibility_m,zone_flood_risk,congestion,traffic_delay_min,road_closure,driver_speed,hist_avg_speed,speed_deviation,distance_remaining,risk_score,delay_level,parametric_trigger,income_loss_pct
19,5,8,1,1,46.01,32.9,58,23.7,4871.0,0.8,2,24,0,17.0,21.0,0.193,1.3,69.26,2,1,0.687
15,2,7,0,0,0.0,32.3,75,11.8,10000.0,0.8,0,8,0,15.6,20.1,0.221,3.72,15.56,0,0,0.105
9,3,5,0,1,43.18,38.1,160,53.3,5337.0,0.9,3,37,0,0.0,17.0,1.0,7.69,95.64,3,1,0.865
10,3,9,0,1,19.86,31.4,62,11.5,7422.0,0.6,1,14,0,19.1,21.2,0.102,0.31,50.55,1,0,0.489
18,2,3,0,1,3.35,31.0,91,80.0,9698.0,0.5,1,21,0,13.5,19.5,0.306,9.39,32.46,0,0,0.253
14,3,5,0,1,37.18,37.1,50,15.1,6067.0,0.65,3,45,0,10.3,23.2,0.557,7.22,99.84,3,1,0.811
17,2,6,0,1,42.57,34.7,35,17.6,3936.0,0.9,3,36,0,3.1,22.2,0.858,0.2,95.73,3,1,0.883
7,3,7,0,1,78.24,32.6,75,15.7,448.0,0.7,3,38,0,0.0,19.5,1.0,3.5,92.71,3,1,0.67
19,2,10,0,1,35.02,27.5,122,18.2,6049.0,0.48,3,36,0,10.7,26.1,0.591,0.77,100.0,3,1,0.862
9,2,4,0,1,12.24,37.4,99,7.5,9099.0,0.85,1,17,0,18.2,24.8,0.267,2.61,46.2,1,0,0.307
16,1,7,0,0,66.16,32.0,92,19.2,1920.0,0.85,3,43,0,0.0,20.8,1.0,3.63,93.54,3,1,0.749
5,2,8,0,0,12.64,32.9,126,3.5,8449.0,0.82,1,16,0,11.6,25.9,0.551,2.05,48.01,1,0,0.513
9,5,1,1,1,4.85,24.9,83,1.2,9721.0,0.8,2,26,0,17.7,21.4,0.173,5.2,40.02,1,0,0.318
16,5,8,1,0,8.62,31.6,66,10.4,9547.0,0.75,0,9,0,31.7,22.9,0.385,3.55,27.55,0,0,0.227
8,2,3,0,1,1.68,31.7,30,4.1,9736.0,0.8,1,19,0,17.3,22.0,0.214,4.81,29.82,0,0,0.267
20,4,2,0,1,3.82,29.5,97,13.8,9722.0,0.4,2,32,0,9.7,28.5,0.659,5.89,28.03,0,0,0.251
17,3,12,0,1,36.61,25.5,85,19.8,6322.0,0.58,2,27,0,6.2,22.5,0.726,11.16,91.5,3,1,0.708
20,5,12,1,1,33.23,26.3,129,23.8,6325.0,0.65,2,29,0,8.9,21.9,0.595,0.51,76.85,2,0,0.596
11,3,11,0,0,12.12,31.5,125,20.0,8303.0,0.85,1,15,0,28.8,30.6,0.059,0.96,64.18,2,0,0.585
1,0,5,0,0,9.73,38.5,122,4.4,9787.0,0.9,0,0,0,9.1,24.4,0.626,2.74,54.18,1,0,0.471
15,2,2,0,0,0.0,30.7,85,28.0,10000.0,0.68,0,2,0,13.6,25.1,0.459,12.35,14.38,0,0,0.168
9,2,9,0,1,22.24,28.2,87,5.6,6694.0,0.7,1,16,0,28.3,23.7,0.193,1.12,50.95,1,0,0.444
12,6,7,1,1,14.5,31.3,88,3.3,8807.0,0.7,1,21,0,19.6,25.6,0.233,11.3,36.63,0,0,0.313
17,3,3,0,1,5.28,31.6,99,16.9,9280.0,0.44,1,17,0,25.7,26.0,0.01,5.06,30.38,0,0,0.298
17,5,7,1,1,18.33,33.7,72,20.9,8041.0,0.6,1,15,0,11.5,31.2,0.632,1.02,51.74,1,0,0.471
1,0,1,0,0,6.93,22.2,75,10.1,9439.0,0.48,1,15,0,19.2,21.4,0.101,1.87,27.85,0,0,0.137
18,1,11,0,1,132.54,29.6,87,26.7,50.0,0.75,3,38,0,0.0,25.5,1.0,1.19,99.32,3,1,0.873
13,2,4,0,1,0.0,36.9,78,7.4,9844.0,0.82,1,14,0,19.3,30.9,0.376,1.8,30.18,0,0,0.3
14,4,9,0,1,52.15,29.5,20,13.3,4276.0,0.68,3,39,0,1.0,16.8,0.943,8.01,93.8,3,1,0.865
9,3,5,0,1,14.19,36.7,125,3.1,8614.0,0.8,3,41,0,10.3,17.3,0.404,0.97,73.04,2,0,0.586
11,0,8,0,0,8.56,31.2,69,26.0,9173.0,0.42,0,3,0,16.1,22.5,0.288,0.74,18.63,0,0,0.151
17,6,8,1,1,35.34,31.4,89,31.2,5707.0,0.44,2,31,0,14.7,21.8,0.327,0.32,61.76,2,1,0.466
18,2,3,0,1,0.0,32.9,60,4.9,10000.0,0.6,2,25,0,13.9,24.6,0.433,0.6,30.92,0,0,0.291
10,6,12,1,1,2.36,26.6,71,5.9,9087.0,0.6,1,12,0,22.3,26.2,0.146,0.2,32.0,0,0,0.227
17,5,10,1,1,88.59,26.3,120,20.9,50.0,0.7,3,44,0,0.0,22.9,1.0,11.33,99.1,3,1,0.8
8,0,12,0,1,11.71,25.5,74,8.3,8961.0,0.82,2,24,0,13.3,21.9,0.392,0.23,73.26,2,0,0.534
19,4,11,0,1,99.39,29.4,156,53.0,50.0,0.6,3,37,0,3.1,25.8,0.882,0.65,100.0,3,1,0.945
15,0,8,0,0,42.31,31.5,95,14.0,6123.0,0.85,0,2,0,17.8,18.1,0.015,1.67,57.14,1,1,0.405
18,3,12,0,1,19.93,28.2,145,27.8,7180.0,0.5,2,25,0,15.0,26.9,0.442,1.05,64.48,2,0,0.501
12,1,2,0,1,0.0,30.0,94,33.9,10000.0,0.78,1,17,0,14.7,15.6,0.061,2.42,26.85,0,0,0.338
8,1,4,0,1,0.68,34.5,144,2.2,9839.0,0.82,1,14,0,31.1,20.4,0.526,4.97,31.65,0,0,0.241
12,1,1,0,1,0.0,25.9,100,0.8,9205.0,0.65,2,30,0,7.9,18.6,0.574,1.71,32.61,0,0,0.263
10,5,5,1,1,39.26,39.7,106,7.9,6143.0,0.48,2,27,0,2.6,31.4,0.919,1.84,84.1,3,1,0.681
9,5,6,1,1,18.15,33.3,58,40.1,6825.0,0.82,1,16,0,20.5,29.0,0.294,5.67,66.41,2,0,0.595
7,0,5,0,1,0.0,40.0,195,8.2,10000.0,0.72,1,16,0,21.4,16.5,0.294,2.76,39.59,0,0,0.28
18,5,11,1,1,75.48,25.8,105,20.6,705.0,0.42,3,42,0,0.0,21.3,1.0,0.42,98.75,3,1,0.879
4,2,6,0,0,38.18,36.3,77,35.6,5832.0,0.68,1,14,0,0.0,19.0,1.0,12.06,80.75,3,1,0.587
20,2,5,0,1,7.19,37.4,197,1.9,8961.0,0.7,2,33,0,16.6,21.8,0.239,1.53,58.09,1,0,0.442
7,2,8,0,1,68.93,32.6,82,19.7,2109.0,0.68,3,45,0,0.0,21.0,1.0,2.17,94.43,3,1,0.743
23,4,3,0,0,1.69,28.5,87,1.5,10000.0,0.42,0,5,0,15.7,24.8,0.367,6.43,8.48,0,0,0.009
23,2,11,0,0,81.89,24.9,78,20.4,50.0,0.8,2,27,0,0.6,23.7,0.977,15.96,96.65,3,1,0.836
11,3,2,0,0,2.3,29.2,96,17.6,8631.0,0.42,0,6,0,1.3,26.8,0.95,0.2,15.77,0,0,0.207
23,0,12,0,0,18.04,27.0,97,60.5,8998.0,0.75,0,4,0,14.7,24.9,0.407,16.51,65.99,2,0,0.607
20,3,10,0,1,3.49,28.6,70,2.1,9032.0,0.78,1,18,0,23.8,20.1,0.186,1.24,54.11,1,0,0.408
4,6,4,1,0,8.41,33.6,162,24.8,10000.0,0.55,0,1,0,17.9,16.4,0.092,6.34,26.89,0,0,0.323
21,1,1,0,0,2.36,30.3,84,37.9,9227.0,0.6,1,21,0,17.3,26.2,0.337,3.14,13.8,0,0,0.191
2,6,11,1,0,104.11,25.4,148,28.3,50.0,0.6,2,30,0,0.0,10.3,1.0,0.35,99.47,3,1,0.859
7,6,10,1,1,70.77,32.4,101,16.8,2013.0,0.8,3,41,0,0.0,22.8,1.0,3.67,100.0,3,1,0.91
15,3,10,0,0,39.92,29.5,146,13.1,4919.0,0.55,0,1,0,13.3,26.3,0.494,3.29,70.31,2,1,0.591
3,3,10,0,0,74.77,25.3,59,16.8,842.0,0.9,3,36,0,0.0,22.4,1.0,5.56,100.0,3,1,0.851
7,3,2,0,1,2.32,32.5,85,5.5,9927.0,0.82,2,28,0,20.6,18.0,0.142,3.84,36.74,0,0,0.43
22,4,6,0,0,55.97,34.6,91,37.8,2466.0,0.6,2,27,0,10.8,16.4,0.338,7.54,70.86,2,1,0.696
23,0,2,0,0,5.62,31.2,102,26.0,9230.0,0.58,0,4,0,29.2,16.8,0.736,1.78,23.24,0,0,0.248
19,5,11,1,1,17.78,26.5,53,9.5,6756.0,0.85,1,19,0,21.5,18.3,0.176,1.04,82.02,3,0,0.683
13,6,9,1,1,42.94,32.3,60,13.9,5199.0,0.78,2,29,0,4.9,24.6,0.8,4.78,85.94,3,1,0.75
20,2,5,0,1,0.0,38.7,182,29.9,10000.0,0.75,1,12,0,21.1,25.6,0.175,3.43,40.25,1,0,0.341
5,3,2,0,0,0.5,26.8,69,9.6,10000.0,0.75,0,2,0,16.3,17.4,0.06,1.37,12.01,0,0,0.055
21,6,5,1,0,0.58,40.0,116,5.5,9967.0,0.6,0,0,0,24.7,20.5,0.207,0.2,27.71,0,0,0.211
10,5,5,1,1,0.45,39.0,86,1.3,10000.0,0.42,0,7,0,19.8,21.4,0.074,2.43,19.59,0,0,0.172
20,1,10,0,1,55.88,27.0,91,16.6,3439.0,0.85,3,42,0,8.0,14.0,0.427,2.26,100.0,3,1,0.874
17,5,9,1,1,54.67,32.9,79,20.3,3947.0,0.7,1,21,0,6.4,18.1,0.647,0.71,71.35,2,1,0.623
22,0,11,0,0,0.0,27.2,68,11.7,10000.0,0.4,1,18,0,22.1,18.2,0.211,13.52,34.41,0,0,0.292
20,0,7,0,1,22.44,33.4,68,6.3,7091.0,0.42,2,29,0,4.4,19.7,0.777,1.57,63.52,2,0,0.56
20,3,2,0,1,0.97,28.9,41,7.1,10000.0,0.4,2,32,0,14.7,21.5,0.317,1.65,29.99,0,0,0.256
16,5,10,1,0,54.92,31.2,70,22.0,3145.0,0.85,1,20,0,15.1,16.2,0.069,2.14,93.44,3,1,0.733
19,0,10,0,1,0.0,30.2,47,9.5,10000.0,0.8,2,31,0,13.0,23.0,0.434,3.58,61.15,2,0,0.43
18,0,8,0,1,43.74,31.6,105,11.1,3955.0,0.48,2,28,0,0.0,27.5,1.0,3.89,74.44,2,1,0.668
7,5,10,1,1,21.21,28.8,124,9.9,7500.0,0.82,0,3,0,17.2,25.6,0.329,2.53,72.4,2,0,0.558
16,0,7,0,0,63.12,32.5,61,17.1,2052.0,0.65,0,9,0,22.5,23.5,0.041,2.86,50.11,1,1,0.527
6,0,8,0,0,42.77,33.0,73,38.7,5670.0,0.44,1,18,0,12.3,17.3,0.287,6.04,52.36,1,1,0.462
20,1,6,0,1,51.39,35.7,86,16.7,4136.0,0.58,2,33,0,6.0,20.2,0.703,11.43,74.81,2,1,0.717
3,1,1,0,0,3.76,25.5,50,32.5,10000.0,0.4,0,9,0,29.4,20.7,0.42,4.8,10.51,0,0,0.082
23,1,2,0,0,0.0,28.2,108,5.9,8975.0,0.44,0,7,0,24.5,16.9,0.454,5.78,9.53,0,0,0.0
11,2,1,0,0,4.38,26.8,77,8.1,8902.0,0.6,0,3,0,34.3,27.2,0.26,1.14,9.94,0,0,0.027
7,1,9,0,1,52.39,32.1,73,18.7,3214.0,0.7,3,42,0,10.3,23.7,0.567,2.43,94.49,3,1,0.884
21,2,5,0,0,16.78,42.0,135,20.8,7697.0,0.48,0,6,0,16.9,16.8,0.006,0.55,41.16,1,0,0.298
2,3,7,0,0,30.35,32.4,57,9.3,6510.0,0.6,0,5,0,23.0,25.5,0.099,0.42,41.06,1,0,0.348
12,0,11,0,1,14.66,27.9,63,6.7,8540.0,0.65,1,14,0,21.6,28.0,0.227,3.25,62.52,2,0,0.501
18,6,4,1,1,0.0,34.6,85,1.4,10000.0,0.78,0,4,0,36.8,25.5,0.444,4.07,22.1,0,0,0.203
9,1,6,0,1,5.98,36.3,66,12.6,9272.0,0.6,2,32,0,30.3,22.2,0.367,5.57,50.41,1,0,0.493
13,3,10,0,1,125.05,27.3,72,26.0,50.0,0.68,3,44,0,0.0,26.0,1.0,3.25,100.0,3,1,0.857
17,0,4,0,1,0.0,34.3,108,18.5,10000.0,0.4,1,16,0,30.8,23.8,0.292,0.39,25.81,0,0,0.295
22,3,2,0,0,2.71,28.5,87,3.0,9825.0,0.7,0,4,0,12.5,21.9,0.428,0.31,16.71,0,0,0.174
5,5,5,1,0,0.0,38.2,174,2.1,10000.0,0.55,0,9,0,29.5,24.3,0.217,1.25,28.82,0,0,0.192
7,4,3,0,1,0.32,33.0,83,6.5,9321.0,0.65,1,15,0,22.7,17.7,0.282,3.02,28.33,0,0,0.149
13,0,12,0,1,0.0,24.6,135,3.7,9594.0,0.44,2,25,0,4.6,19.7,0.765,5.06,51.02,1,0,0.495
11,0,11,0,0,63.94,25.9,78,25.6,2198.0,0.4,1,18,0,0.2,26.6,0.992,9.02,93.21,3,1,0.746
11,2,9,0,0,29.55,29.7,50,19.6,6843.0,0.42,0,2,0,8.9,22.2,0.598,0.37,39.43,0,0,0.294
9,5,11,1,1,29.25,25.7,137,12.9,6740.0,0.4,1,19,0,14.1,24.2,0.417,0.2,69.4,2,0,0.543
14,6,11,1,1,63.1,28.6,60,18.0,1654.0,0.42,2,27,0,7.7,20.9,0.629,12.39,100.0,3,1,0.731
20,5,3,1,1,3.62,34.3,75,2.5,9739.0,0.4,0,4,0,20.1,33.2,0.395,1.91,11.48,0,0,0.113
7,0,11,0,1,130.84,27.3,219,31.0,50.0,0.8,3,42,0,0.0,11.9,1.0,10.94,97.04,3,1,0.757
8,3,8,0,1,77.87,32.1,94,36.4,824.0,0.8,3,39,1,0.0,25.5,1.0,11.16,99.24,3,1,0.818
17,6,11,1,1,94.59,23.8,167,33.4,50.0,0.75,3,40,0,0.0,22.0,1.0,2.72,100.0,3,1,0.892
2,6,11,1,0,166.65,28.7,120,39.7,50.0,0.8,3,42,1,0.0,20.4,1.0,3.72,97.62,3,1,0.819
17,6,5,1,1,11.82,36.7,119,16.3,8781.0,0.58,1,15,0,15.5,15.1,0.027,9.6,36.21,0,0,0.213
9,4,2,0,1,2.12,29.5,84,22.0,9607.0,0.5,2,28,0,16.4,20.6,0.204,2.69,30.35,0,0,0.279
10,4,4,0,1,0.0,35.3,146,0.7,10000.0,0.44,1,20,0,16.1,19.8,0.187,10.63,22.57,0,0,0.094
11,1,6,0,0,59.2,37.2,47,16.5,3704.0,0.55,1,13,0,5.3,18.6,0.717,4.07,63.55,2,1,0.665
10,1,11,0,1,105.59,25.2,111,24.1,50.0,0.6,3,45,0,0.0,16.7,1.0,1.71,99.36,3,1,0.863
19,3,11,0,1,114.17,25.6,58,23.7,50.0,0.8,3,37,1,0.0,17.7,1.0,0.64,98.69,3,1,0.777
21,1,1,0,0,0.0,27.1,91,56.1,9281.0,0.68,0,1,0,14.1,19.8,0.284,0.2,21.21,0,0,0.238
14,4,7,0,1,28.41,31.2,53,14.9,5840.0,0.7,1,16,0,7.1,20.9,0.659,0.36,51.67,1,0,0.512
15,4,6,0,0,60.05,35.7,77,14.6,2259.0,0.68,0,7,0,11.2,28.2,0.602,4.88,62.13,2,1,0.552
3,2,4,0,0,0.0,31.9,161,1.0,10000.0,0.48,0,9,0,17.2,16.7,0.03,3.94,13.74,0,0,0.177
17,0,2,0,1,2.49,29.8,62,19.8,9381.0,0.75,2,28,0,18.0,21.6,0.165,1.54,30.1,0,0,0.259
15,6,5,1,0,7.89,36.7,84,26.9,9117.0,0.9,0,5,0,23.2,21.3,0.089,0.99,38.39,0,0,0.337
2,6,12,1,0,38.01,24.7,85,9.8,5447.0,0.42,0,8,0,16.4,20.2,0.188,2.65,59.08,1,1,0.514
7,6,5,1,1,34.17,37.1,171,8.6,5154.0,0.5,1,15,0,11.4,22.3,0.49,4.81,62.12,2,0,0.474
7,0,7,0,1,17.7,31.7,67,19.6,7829.0,0.82,1,18,0,10.3,25.6,0.596,2.4,67.52,2,0,0.542
7,1,10,0,1,82.73,30.2,81,36.6,50.0,0.58,3,36,0,0.0,23.4,1.0,6.14,97.24,3,1,0.915
17,3,6,0,1,43.77,36.0,119,12.7,3632.0,0.9,2,27,0,0.0,20.5,1.0,1.63,86.94,3,1,0.742
21,6,12,1,0,13.41,26.6,81,20.7,8285.0,0.7,1,13,0,24.5,26.2,0.063,0.3,43.76,1,0,0.363
18,0,12,0,1,38.84,26.2,59,18.4,6249.0,0.44,2,24,0,0.5,24.5,0.981,4.43,88.62,3,1,0.754
12,5,4,1,1,9.78,37.5,80,3.9,9622.0,0.72,1,13,0,27.0,25.0,0.079,5.51,45.98,1,0,0.427
11,0,7,0,0,35.02,33.9,75,10.1,5826.0,0.6,1,12,0,12.0,19.1,0.371,0.2,58.54,1,1,0.484
10,4,5,0,1,11.11,36.6,117,3.0,8981.0,0.4,2,28,0,12.6,25.5,0.505,4.28,56.38,1,0,0.53
15,1,5,0,0,0.0,39.3,200,4.8,10000.0,0.6,0,8,0,31.4,24.0,0.308,0.44,33.48,0,0,0.287
10,3,1,0,1,6.76,27.4,52,12.9,8877.0,0.9,1,12,0,17.8,19.2,0.076,6.06,37.7,0,0,0.369
8,2,8,0,1,25.01,32.6,95,62.8,6390.0,0.55,1,17,0,17.3,26.2,0.34,4.34,55.84,1,0,0.562
15,3,7,0,0,18.55,32.5,47,5.6,7099.0,0.5,0,4,0,17.2,21.1,0.186,5.87,28.36,0,0,0.173
11,6,1,1,0,6.69,26.0,100,21.9,8825.0,0.42,0,9,0,23.5,20.5,0.149,1.07,18.52,0,0,0.154
0,6,5,1,0,0.0,38.3,168,20.3,9608.0,0.72,0,6,0,25.0,18.6,0.345,13.35,33.86,0,0,0.314
1,1,11,0,0,84.76,26.2,141,37.0,252.0,0.5,2,29,0,2.3,19.2,0.88,2.61,99.26,3,1,0.917
8,3,4,0,1,12.14,35.2,128,24.1,8587.0,0.6,1,20,0,15.5,16.0,0.031,3.13,36.76,0,0,0.3
13,5,3,1,1,0.0,31.2,88,14.6,10000.0,0.6,1,14,0,21.3,22.0,0.029,15.91,22.17,0,0,0.178
10,0,7,0,1,39.93,33.8,75,9.0,5362.0,0.85,3,43,0,9.4,18.3,0.486,1.8,78.47,2,1,0.719
1,5,12,1,0,17.83,26.0,67,39.2,7129.0,0.72,0,3,0,27.7,19.3,0.44,4.5,54.1,1,0,0.498
8,3,4,0,1,6.73,34.8,21,17.6,9324.0,0.65,1,19,0,22.4,18.9,0.186,7.67,39.01,0,0,0.358
4,1,9,0,0,22.66,34.5,93,10.3,7593.0,0.65,1,13,0,12.3,18.3,0.328,0.7,54.08,1,0,0.384
21,3,10,0,0,42.08,34.4,72,11.0,5251.0,0.75,2,32,0,14.0,17.9,0.219,5.35,100.0,3,1,0.822
9,1,4,0,1,0.0,32.6,90,0.5,9996.0,0.5,2,33,0,9.8,12.2,0.196,2.33,34.87,0,0,0.299
0,6,10,1,0,109.1,29.5,108,32.6,50.0,0.75,1,21,0,0.0,22.1,1.0,4.28,100.0,3,1,0.909
17,0,6,0,1,51.68,35.4,61,14.2,2604.0,0.4,2,25,0,10.7,30.7,0.652,3.34,78.61,2,1,0.661
8,4,9,0,1,12.1,32.7,67,22.1,8169.0,0.44,3,42,0,14.7,24.2,0.395,0.94,57.88,1,0,0.572
14,3,9,0,1,0.0,30.3,108,12.2,9503.0,0.85,1,14,0,16.1,23.5,0.314,2.09,39.62,0,0,0.367
6,5,8,1,0,90.49,31.0,112,22.6,50.0,0.5,2,24,0,5.8,17.5,0.665,9.08,74.65,2,1,0.613
23,0,2,0,0,4.65,28.2,110,25.6,9901.0,0.85,0,5,0,29.0,21.5,0.349,4.55,16.3,0,0,0.141
22,4,11,0,0,53.43,25.7,125,31.0,3304.0,0.82,1,12,0,5.9,17.6,0.662,0.2,100.0,3,1,0.847
17,0,5,0,1,37.81,39.5,142,9.6,6041.0,0.78,3,41,0,3.6,19.1,0.81,2.1,99.55,3,1,0.789
17,4,3,0,1,0.0,31.6,110,29.0,9061.0,0.42,2,32,0,15.5,16.9,0.085,2.43,25.63,0,0,0.214
11,4,1,0,0,0.0,29.6,97,6.3,9522.0,0.68,0,5,0,13.5,19.1,0.293,1.69,17.28,0,0,0.116
22,2,8,0,0,84.84,32.4,69,21.2,50.0,0.7,2,24,0,1.0,26.1,0.96,7.23,86.87,3,1,0.733
11,4,9,0,0,16.31,29.8,64,4.5,7915.0,0.72,0,2,0,15.5,19.9,0.219,6.85,41.18,1,0,0.388
8,5,1,1,1,4.03,21.2,104,2.6,9950.0,0.68,1,21,0,32.2,24.1,0.34,7.53,25.0,0,0,0.195
5,6,7,1,0,31.9,31.5,66,44.4,5432.0,0.55,0,8,0,13.8,15.5,0.109,13.04,49.55,1,0,0.391
7,4,4,0,1,9.64,31.1,110,5.6,8423.0,0.75,2,26,0,15.6,22.9,0.316,4.62,52.34,1,0,0.553
15,5,9,1,0,18.13,33.4,52,5.9,8170.0,0.58,0,6,0,8.4,27.2,0.69,13.35,42.13,1,0,0.358
8,6,3,1,1,3.21,27.6,128,27.0,9603.0,0.44,1,20,0,18.4,20.0,0.077,2.42,17.03,0,0,0.146
17,6,9,1,1,32.24,27.6,92,13.8,6808.0,0.68,0,1,0,12.2,20.4,0.405,2.98,42.94,1,0,0.299
10,6,6,1,1,32.93,37.2,66,14.6,5490.0,0.68,2,30,0,9.3,23.2,0.599,1.9,67.46,2,0,0.589
20,0,12,0,1,33.57,25.0,104,14.0,5546.0,0.8,2,24,0,20.2,20.2,0.001,1.78,80.1,3,0,0.677
14,1,3,0,1,4.31,26.8,93,1.3,8343.0,0.58,1,13,0,28.9,16.8,0.716,2.92,23.65,0,0,0.158
16,4,6,0,0,60.67,35.7,119,14.0,3834.0,0.85,1,16,0,10.7,22.7,0.53,2.53,70.87,2,1,0.67
14,4,2,0,1,4.35,26.1,78,9.1,9624.0,0.4,2,32,0,9.9,21.1,0.529,6.9,35.29,0,0,0.312
20,1,12,0,1,29.98,25.9,91,8.4,6384.0,0.9,1,21,0,11.5,19.0,0.392,11.57,70.6,2,0,0.612
3,4,11,0,0,141.99,28.7,93,80.0,50.0,0.5,3,45,0,5.1,22.9,0.779,2.07,98.48,3,1,0.898
3,3,4,0,0,0.33,34.3,37,1.3,8602.0,0.78,0,8,0,23.1,22.0,0.048,6.6,23.53,0,0,0.247
17,3,9,0,1,79.61,33.0,94,40.1,405.0,0.72,3,41,0,0.0,23.8,1.0,2.75,100.0,3,1,0.83
18,0,11,0,1,58.67,27.1,176,13.4,3517.0,0.7,2,32,0,3.8,22.1,0.827,0.2,100.0,3,1,0.874
12,5,8,1,1,37.26,31.3,56,46.9,5324.0,0.42,2,29,0,3.4,22.4,0.847,3.91,74.92,2,1,0.723
10,2,8,0,1,79.45,31.1,73,74.8,356.0,0.6,3,45,0,0.0,19.4,1.0,1.23,89.95,3,1,0.782
8,6,4,1,1,4.8,34.1,143,27.2,10000.0,0.48,1,15,0,25.2,18.7,0.343,2.86,23.14,0,0,0.133
8,3,2,0,1,0.0,26.0,88,0.9,10000.0,0.85,2,24,0,20.0,27.8,0.28,0.22,33.24,0,0,0.291
21,3,11,0,0,99.66,27.6,137,22.8,50.0,0.68,2,29,0,0.9,21.1,0.956,4.34,100.0,3,1,0.877
9,6,11,1,1,87.23,25.6,128,25.0,50.0,0.48,3,42,0,5.9,25.8,0.772,4.09,100.0,3,1,0.813
16,4,9,0,0,31.1,33.8,97,34.1,5883.0,0.7,0,5,0,15.1,12.2,0.239,1.51,36.59,0,0,0.304
19,4,5,0,1,31.57,39.7,105,15.1,5789.0,0.65,1,13,0,15.7,21.0,0.256,3.92,60.6,2,0,0.474
1,3,6,0,0,2.44,33.7,57,17.7,10000.0,0.4,0,7,0,26.6,27.8,0.044,6.29,15.42,0,0,0.191
1,3,10,0,0,90.08,26.6,84,20.1,50.0,0.75,2,26,0,0.0,18.7,1.0,1.15,99.27,3,1,0.794
9,5,11,1,1,76.23,26.0,71,40.2,602.0,0.6,3,38,0,0.0,21.8,1.0,4.18,100.0,3,1,0.865
17,4,11,0,1,34.47,30.6,93,47.8,6460.0,0.9,1,15,0,16.6,23.7,0.299,2.2,100.0,3,0,0.843
8,1,10,0,1,132.59,28.7,83,47.9,50.0,0.55,3,43,0,0.0,20.9,1.0,0.2,98.91,3,1,0.897
0,3,9,0,0,19.23,29.9,81,21.3,7403.0,0.6,0,4,0,19.6,21.9,0.106,5.22,43.81,1,0,0.281
9,2,2,0,1,0.0,28.0,108,3.9,9913.0,0.8,2,32,0,16.3,21.1,0.225,2.25,33.54,0,0,0.39
4,1,3,0,0,2.49,30.5,81,3.6,9520.0,0.65,0,5,0,26.1,15.4,0.689,3.46,17.61,0,0,0.135
8,2,11,0,1,59.96,27.3,66,21.4,2900.0,0.55,3,45,0,11.3,23.5,0.519,1.23,98.01,3,1,0.857
9,2,8,0,1,0.0,33.1,52,14.7,10000.0,0.75,1,13,0,9.5,15.1,0.372,6.31,33.52,0,0,0.247
